科目编号	科目名称	金额
410502	办公费	24.4
410502	办公费	425
410502	办公费	186.96
410502	办公费	72.65
410502	办公费	110.2
410502	办公费	560.47
410502	办公费	11
410502	办公费	961
410502	办公费	80
410502	办公费	161.89
410502	办公费	262.8
410502	办公费	5
410502	办公费	450
410502	办公费	8
410502	办公费	278
410513	低值易耗品	569.8
410513	低值易耗品	496
410513	低值易耗品	88.89
410513	低值易耗品	120.77
410513	低值易耗品	267
410513	低值易耗品	235.19
410513	低值易耗品	125.77
410513	低值易耗品	40
410513	低值易耗品	60
410529	交通工具费	205
410529	交通工具费	15
410529	交通工具费	881
410529	交通工具费	473
410529	交通工具费	40
410529	交通工具费	12
410529	交通工具费	69
410529	交通工具费	30
410529	交通工具费	324
410529	交通工具费	702
410529	交通工具费	70
410529	交通工具费	125
410529	交通工具费	50
410529	交通工具费	24
410529	交通工具费	219
410529	交通工具费	25
410529	交通工具费	15
410529	交通工具费	280
410529	交通工具费	496
410529	交通工具费	392
410529	交通工具费	18
410529	交通工具费	28.3
410529	交通工具费	103
410529	交通工具费	83
410529	交通工具费	252
410529	交通工具费	55
410529	交通工具费	86
410529	交通工具费	593
410529	交通工具费	252
410529	交通工具费	296
410529	交通工具费	276
410529	交通工具费	40
410529	交通工具费	58.5
410529	交通工具费	254
410529	交通工具费	40
410529	交通工具费	12
410529	交通工具费	5
410529	交通工具费	382
410529	交通工具费	350
410529	交通工具费	155
410529	交通工具费	300
410529	交通工具费	49
410529	交通工具费	2
410529	交通工具费	113.5
410529	交通工具费	355
410529	交通工具费	2
410529	交通工具费	464.3
410529	交通工具费	820
410529	交通工具费	50
410529	交通工具费	10
410529	交通工具费	20
410529	交通工具费	20
410529	交通工具费	5
410529	交通工具费	10
410529	交通工具费	25
410518	通讯费	50
410518	通讯费	150
410518	通讯费	100
410518	通讯费	50
410518	通讯费	100
410518	通讯费	100
410518	通讯费	50
410518	通讯费	50
410518	通讯费	150
410518	通讯费	50
410518	通讯费	100
410518	通讯费	50
410518	通讯费	100
410518	通讯费	150
410512	维修费	105
410503	物料消耗	76.5
410503	物料消耗	2,896.58
410531	应酬费	15.7
410531	应酬费	4
410531	应酬费	14
410531	应酬费	47.5
